id,source,title,language,date,audio_duration,video_duration,speaker,series_name,series_part,series_order,scripture_osis,scripture_book,kind,is_conference,soundcloud_id,youtube_id,topics
sc-2199484955,soundcloud,Fruit de l'Esprit : la tempérance,fr,2025-10-26,3750,,David Pelosi,Fruit de l'Esprit,,3,Gal.5.22,Gal,sermon,False,2199484955,,
sc-2193800499,soundcloud,Les conséquences du péché,fr,2025-10-19,3685,,David Pelosi,Étude — Genèse,,9,Gen.3.7-Gen.3.24,Gen,sermon,False,2193800499,,
sc-2193798131,soundcloud,Fruit de l'Esprit : fidélité et douceur,fr,2025-10-19,3671,,David Pelosi,Fruit de l'Esprit,,2,Gal.5.22,Gal,sermon,False,2193798131,,Fruit de l'Esprit; Sanctification; Justification; Nouvelle nature; Fidélité; Douceur; Vie chrétienne
sc-2188664595,soundcloud,"Fruit de l'Esprit : patience, benignité et bonté",fr,2025-10-12,3429,,David Pelosi,Fruit de l'Esprit,,1,Gal.5.22,Gal,sermon,False,2188664595,,
sc-2187560778,soundcloud,La tentation de notre Seigneur Jésus-Christ,fr,2025-10-10,3168,,David Pelosi,Évangile de Matthieu,,2,Matt.4.1-Matt.4.11,Matt,sermon,False,2187560778,,
sc-2183820587,soundcloud,La paix qui jaillit du Christ par l'Esprit,fr,2025-10-06,4075,,David Pelosi,Épître aux Galates,,61,Gal.5.22,Gal,sermon,False,2183820587,,
sc-2181893075,soundcloud,La chute de l'homme,fr,2025-10-03,4636,,David Pelosi,Étude — Genèse,,8,Gen.3.1-Gen.3.8,Gen,sermon,False,2181893075,,
sc-2178138930,soundcloud,La conception biblique de la paix de l'Esprit,fr,2025-09-28,3822,,David Pelosi,Épître aux Galates,,60,Gal.5.22,Gal,sermon,False,2178138930,,
sc-2177514024,soundcloud,L'état de Beatitude Initiale de l'homme,fr,2025-09-27,3545,,David Pelosi,Étude — Genèse,,6,Gen.2,Gen,sermon,False,2177514024,,
sc-2175501204,soundcloud,Evaluation des diacres,fr,2025-09-23,2783,,David Pelosi,,,,,,teaching_or_qa,False,2175501204,,
sc-2175500673,soundcloud,Formations des diacres : V - IX Ce qu'ils doivent faire,fr,2025-09-23,3591,,David Pelosi,Formations des diacres,,3,,,teaching_or_qa,False,2175500673,,
sc-2175498435,soundcloud,Formations des diacres : IV Ce qu'ils doivent être,fr,2025-09-23,5024,,David Pelosi,Formations des diacres,,2,,,teaching_or_qa,False,2175498435,,
sc-2175491502,soundcloud,Formations des diacres : I - III Serviteurs d'office,fr,2025-09-23,3489,,David Pelosi,Formations des diacres,,1,,,teaching_or_qa,False,2175491502,,
sc-2174499144,soundcloud,"Conversion authentique, embassadeurs responsables",fr,2025-09-22,4426,,David Pelosi,Actes des Apôtres,,4,Acts.8.29-Acts.8.40,Acts,sermon,False,2174499144,,
sc-2173529298,soundcloud,Introduction á la chute de l'homme,fr,2025-09-19,3091,,David Pelosi,Étude — Genèse,,7,Gen.3.1-Gen.3.8,Gen,sermon,False,2173529298,,
sc-2170364553,soundcloud,L'évangélisation biblique,fr,2025-09-14,4022,,David Pelosi,Actes des Apôtres,,3,Acts.8.26-Acts.8.35,Acts,sermon,False,2170364553,ch8YEPP3twE,
sc-2169824730,soundcloud,Aimer servir au lieu de craindre,fr,2025-09-13,2865,,David Pelosi,,,,1John.4.7-1John.4.11,1John,sermon,False,2169824730,,
sc-2167749627,soundcloud,La beauté de notre nouvelle naissance,fr,2025-09-09,3730,,David Pelosi,Épître de Jacques,,4,Jas.1.16-Jas.1.18,Jas,sermon,False,2167749627,,
sc-2167749246,soundcloud,Quand l'épreuve devient tentation,fr,2025-09-09,3529,,David Pelosi,Épître de Jacques,,3,Jas.1.12-Jas.1.15,Jas,sermon,False,2167749246,,
sc-2167748475,soundcloud,Le danger des richesses terrestres,fr,2025-09-09,3621,,David Pelosi,Épître de Jacques,,2,Jas.1.9-Jas.1.11,Jas,sermon,False,2167748475,,
sc-2167745982,soundcloud,La persévérance chrétienne,fr,2025-09-09,3500,,David Pelosi,Épître de Jacques,,1,Jas.1.1-Jas.1.4,Jas,sermon,False,2167745982,,
sc-2166477156,soundcloud,Être témoins de Christ,fr,2025-09-07,3153,,David Pelosi,Actes des Apôtres,,2,Acts.8.26-Acts.8.35,Acts,sermon,False,2166477156,,
sc-2163682815,soundcloud,Comment Dieu est glorifié dans notre repentance ?,fr,2025-09-02,2533,,David Pelosi,Étude — Ézéchiel,,9,Ezek.6.9-Ezek.6.10,Ezek,sermon,False,2163682815,,
sc-2158843905,soundcloud,Favoritisme : incohérent avec les principes de l'Evangile,fr,2025-08-25,3637,,David Pelosi,Épître de Jacques,,12,Jas.2.6-Jas.2.7,Jas,sermon,False,2158843905,Bx5Z25JOL1Q,
sc-2158843158,soundcloud,Favoritisme : incompatible avec Dieu et son peuple,fr,2025-08-25,3058,,David Pelosi,Épître de Jacques,,11,Jas.2.5,Jas,sermon,False,2158843158,E1yHe_-wugw,
sc-2151088524,soundcloud,L'origine ténébreuse du favoritisme,fr,2025-08-10,2982,,David Pelosi,Épître de Jacques,,10,Jas.2.1-Jas.2.4,Jas,sermon,False,2151088524,0gx_6KBQMXc,
sc-2151088182,soundcloud,,fr,2025-08-10,3072,,David Pelosi,Étude — Ézéchiel,,8,Ezek.6.7-Ezek.6.10,Ezek,sermon,False,2151088182,,
sc-2151087165,soundcloud,La réponse biblique à l'estime de soi,fr,2025-08-10,4219,,David Pelosi,,,,2Cor.12.7-2Cor.12.10,2Cor,sermon,False,2151087165,,
sc-2151086655,soundcloud,De quoi avons nous besoin ?,fr,2025-08-10,2764,,David Pelosi,Étude — Psaumes,,2,Ps.6.1-Ps.6.10,Ps,sermon,False,2151086655,,
sc-2137660878,soundcloud,La destruction des idoles et des idolâtres,fr,2025-07-28,3708,,David Pelosi,Étude — Ézéchiel,,7,Ezek.6.1-Ezek.6.7,Ezek,sermon,False,2137660878,,
sc-2136840354,soundcloud,"La peur d'être exposé, rejeté et blessé",fr,2025-07-26,3915,,David Pelosi,,,,Isa.53.4-Isa.53.5,Isa,sermon,False,2136840354,,
sc-2133657198,soundcloud,"Israël, un sujet d'opprobre et d'effroi et ce qu'il nous enseigne",fr,2025-07-21,3715,,David Pelosi,Étude — Ézéchiel,,6,Ezek.5.13-Ezek.5.17,Ezek,sermon,False,2133657198,,
sc-2133651906,soundcloud,Nouvelle naissance : œuvre souveraine de Dieu,fr,2025-07-21,2841,,David Pelosi,Évangile de Jean,,2,John.3.1-John.3.10,John,sermon,False,2133651906,,
sc-2128572861,soundcloud,La Crainte de Dieu,fr,2025-07-11,2440,,David Pelosi,Étude — Psaumes,,3,Ps.31.20,Ps,sermon,False,2128572861,,
sc-2124804168,soundcloud,La crainte de l'homme,fr,2025-07-04,3596,,David Pelosi,,,,Prov.29.25,Prov,sermon,False,2124804168,,
sc-2121638127,soundcloud,Jésus : le vrai sacerdoce selon les Écritures,fr,2025-06-29,3665,,David Pelosi,Épître aux Hébreux,,26,Heb.6.20,Heb,sermon,False,2121638127,,
